<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMBV4.SA,D,20010108,000000,460.4000,463.3700,453.4700,455.4500,88600,0
AMBV4.SA,D,20010109,000000,472.2700,472.2700,455.4500,462.8700,230700,0
AMBV4.SA,D,20010110,000000,465.3500,470.3000,460.4000,470.3000,290000,0
AMBV4.SA,D,20010111,000000,470.2900,470.3000,455.4500,465.3400,138200,0
AMBV4.SA,D,20010112,000000,465.4500,465.4500,455.9400,463.3700,102300,0
AMBV4.SA,D,20010115,000000,465.3500,465.3500,457.4500,462.8700,32300,0
AMBV4.SA,D,20010116,000000,463.3700,467.3300,458.9100,467.3300,63800,0
AMBV4.SA,D,20010117,000000,467.3300,485.1500,467.3300,479.2100,111200,0
AMBV4.SA,D,20010118,000000,482.1800,499.9900,481.1900,499.0100,175300,0
AMBV4.SA,D,20010119,000000,501.0100,508.9100,498.0200,506.9300,148200,0
AMBV4.SA,D,20010122,000000,505.7400,520.7900,505.7400,516.8300,130400,0
AMBV4.SA,D,20010123,000000,519.8000,524.7500,509.9000,514.8400,184600,0
AMBV4.SA,D,20010124,000000,504.9500,512.8700,496.0400,499.0100,63500,0
AMBV4.SA,D,20010125,000000,499.0100,499.0100,499.0100,499.0100,0,0
AMBV4.SA,D,20010126,000000,499.0100,504.9500,494.0600,503.9600,252300,0
AMBV4.SA,D,20010129,000000,503.9600,523.2700,500.0000,523.2700,226600,0
AMBV4.SA,D,20010130,000000,524.7500,541.5800,519.8000,541.5800,206700,0
AMBV4.SA,D,20010131,000000,554.4500,556.4400,544.5700,553.2700,252000,0
AMBV4.SA,D,20010201,000000,544.5500,554.4600,539.6000,552.4800,196600,0
AMBV4.SA,D,20010202,000000,552.4800,554.4600,514.8500,527.7200,137800,0
AMBV4.SA,D,20010205,000000,524.7500,533.6600,515.8400,533.6600,69800,0
AMBV4.SA,D,20010206,000000,544.5500,554.4500,534.1600,539.5600,85200,0
AMBV4.SA,D,20010207,000000,536.6300,536.6300,519.8100,534.6500,245500,0
AMBV4.SA,D,20010208,000000,535.6400,539.6000,525.7400,529.6900,93400,0
AMBV4.SA,D,20010209,000000,525.7400,525.7400,515.8400,518.9200,58500,0
AMBV4.SA,D,20010212,000000,524.7500,524.7500,507.9200,507.9200,310700,0
AMBV4.SA,D,20010213,000000,507.9700,510.8900,495.0500,496.0600,259400,0
AMBV4.SA,D,20010214,000000,500.0000,504.9500,495.0600,500.8900,81300,0
AMBV4.SA,D,20010215,000000,500.0000,504.9500,491.0900,491.0900,244200,0
AMBV4.SA,D,20010216,000000,489.1100,503.9600,485.1500,494.0600,801500,0
AMBV4.SA,D,20010219,000000,498.0200,509.9000,492.5700,495.0500,95700,0
AMBV4.SA,D,20010220,000000,503.9600,514.8500,501.9800,508.9100,210100,0
AMBV4.SA,D,20010221,000000,500.0000,506.9300,485.1500,498.0300,302600,0
AMBV4.SA,D,20010222,000000,504.9500,514.8300,498.0200,502.9700,118300,0
AMBV4.SA,D,20010223,000000,505.0500,514.8500,500.9900,509.9000,84600,0
AMBV4.SA,D,20010226,000000,509.9000,509.9000,509.9000,509.9000,0,0
AMBV4.SA,D,20010227,000000,509.9000,509.9000,509.9000,509.9000,0,0
AMBV4.SA,D,20010228,000000,509.9000,509.9000,493.0700,495.0500,55100,0
AMBV4.SA,D,20010301,000000,500.9900,504.9500,496.0400,504.9500,153100,0
AMBV4.SA,D,20010302,000000,509.8900,509.9000,502.9700,508.9100,344000,0
AMBV4.SA,D,20010305,000000,514.8500,514.8500,496.1600,496.1600,214000,0
AMBV4.SA,D,20010306,000000,504.9500,504.9500,490.1000,492.0800,163600,0
AMBV4.SA,D,20010307,000000,493.0700,506.9400,491.0900,506.9400,269100,0
AMBV4.SA,D,20010308,000000,507.9200,534.6500,500.0000,507.9200,336400,0
AMBV4.SA,D,20010309,000000,521.7800,521.7800,502.9700,505.9400,302200,0
AMBV4.SA,D,20010312,000000,502.9700,505.9400,500.0000,502.9700,480700,0
AMBV4.SA,D,20010313,000000,504.9500,508.4200,495.0500,505.9400,350000,0
AMBV4.SA,D,20010314,000000,504.9500,508.4200,495.0500,505.9400,350000,0
AMBV4.SA,D,20010315,000000,508.9100,519.8000,505.9400,508.9100,184300,0
AMBV4.SA,D,20010316,000000,508.9100,524.7500,504.9500,523.2700,105800,0
AMBV4.SA,D,20010319,000000,519.9000,524.7500,501.9800,505.4500,86200,0
AMBV4.SA,D,20010320,000000,505.1500,514.8500,505.1500,509.9000,100500,0
AMBV4.SA,D,20010321,000000,521.7700,521.7800,506.0400,509.9000,148100,0
AMBV4.SA,D,20010322,000000,504.9500,509.9000,489.9900,504.9500,197900,0
AMBV4.SA,D,20010323,000000,490.1000,504.9500,485.1500,490.1000,167900,0
AMBV4.SA,D,20010326,000000,504.9500,506.9300,500.0000,504.9500,51300,0
AMBV4.SA,D,20010327,000000,522.7700,524.7400,504.9600,516.8200,229000,0
AMBV4.SA,D,20010328,000000,496.0400,534.6300,496.0400,496.0400,47700,0
AMBV4.SA,D,20010329,000000,495.0600,509.9000,492.0800,495.0500,260300,0
AMBV4.SA,D,20010330,000000,500.0000,500.0000,475.2500,500.0000,144700,0
AMBV4.SA,D,20010402,000000,495.0500,502.9700,495.0500,495.0500,137500,0
AMBV4.SA,D,20010403,000000,490.1000,502.9700,475.2600,490.1000,85000,0
